date,price,day,day_of_week,month,lag_1,lag_2,lag_3,lag_7
2026-04-22 03:00:54.527,77536.75470746626,17,2,4,76322.61641898053,76308.7293299303,76350.25202878818,74995.37782854948
2026-04-22 04:00:40.948,77587.83202645402,17,2,4,77536.75470746626,76322.61641898053,76308.7293299303,75763.05667180788
2026-04-22 05:00:47.209,77478.20552898936,17,2,4,77587.83202645402,77536.75470746626,76322.61641898053,75574.10377442642
2026-04-22 06:00:57.207,78016.40224612548,17,2,4,77478.20552898936,77587.83202645402,77536.75470746626,75629.08968346077
2026-04-22 07:00:10.741,77988.76554637455,17,2,4,78016.40224612548,77478.20552898936,77587.83202645402,76350.25202878818
2026-04-22 08:00:51.547,78067.63707556471,17,2,4,77988.76554637455,78016.40224612548,77478.20552898936,76308.7293299303
2026-04-22 09:00:57.778,78058.08975780573,17,2,4,78067.63707556471,77988.76554637455,78016.40224612548,76322.61641898053
2026-04-22 10:00:56.646,78024.52473191661,17,2,4,78058.08975780573,78067.63707556471,77988.76554637455,77536.75470746626
2026-04-22 11:00:46.807,78144.37988534916,17,2,4,78024.52473191661,78058.08975780573,78067.63707556471,77587.83202645402
2026-04-22 12:00:56.988,78287.86829838748,17,2,4,78144.37988534916,78024.52473191661,78058.08975780573,77478.20552898936
2026-04-22 13:00:00.597,78273.8966848666,17,2,4,78287.86829838748,78144.37988534916,78024.52473191661,78016.40224612548
2026-04-22 14:00:03.201,78815.99780735128,17,2,4,78273.8966848666,78287.86829838748,78144.37988534916,77988.76554637455
2026-04-22 15:00:16.489,79080.63292286295,17,2,4,78815.99780735128,78273.8966848666,78287.86829838748,78067.63707556471
2026-04-22 16:01:04.024,79321.15968354288,18,2,4,79080.63292286295,78815.99780735128,78273.8966848666,78058.08975780573
2026-04-22 17:00:25.757,78751.70323522005,18,2,4,79321.15968354288,79080.63292286295,78815.99780735128,78024.52473191661
2026-04-22 18:00:50.652,78923.92967916405,18,2,4,78751.70323522005,79321.15968354288,79080.63292286295,78144.37988534916
2026-04-22 19:00:35.409,79026.34137679906,18,2,4,78923.92967916405,78751.70323522005,79321.15968354288,78287.86829838748
2026-04-22 20:00:52.843,78946.3912548935,18,2,4,79026.34137679906,78923.92967916405,78751.70323522005,78273.8966848666
2026-04-22 21:00:52.677,78453.79426420951,18,2,4,78946.3912548935,79026.34137679906,78923.92967916405,78815.99780735128
2026-04-22 22:00:05.923,78791.52632630398,18,2,4,78453.79426420951,78946.3912548935,79026.34137679906,79080.63292286295
2026-04-22 23:00:43.763,78602.89731358779,18,2,4,78791.52632630398,78453.79426420951,78946.3912548935,79321.15968354288
2026-04-23 00:00:40.823,78194.78334884858,18,3,4,78602.89731358779,78791.52632630398,78453.79426420951,78751.70323522005
2026-04-23 01:00:48.116,78406.2930435807,18,3,4,78194.78334884858,78602.89731358779,78791.52632630398,78923.92967916405
2026-04-23 02:00:18.441,78357.18396749758,18,3,4,78406.2930435807,78194.78334884858,78602.89731358779,79026.34137679906
2026-04-23 03:00:47.770,77985.92377137982,18,3,4,78357.18396749758,78406.2930435807,78194.78334884858,78946.3912548935
2026-04-23 04:00:47.486,77745.85432228484,18,3,4,77985.92377137982,78357.18396749758,78406.2930435807,78453.79426420951
2026-04-23 05:00:22.561,77935.74125864716,18,3,4,77745.85432228484,77985.92377137982,78357.18396749758,78791.52632630398
2026-04-23 06:00:37.500,78027.34427996507,18,3,4,77935.74125864716,77745.85432228484,77985.92377137982,78602.89731358779
2026-04-23 07:00:17.638,78224.5180282668,18,3,4,78027.34427996507,77935.74125864716,77745.85432228484,78194.78334884858
2026-04-23 08:00:39.673,78031.99538001728,18,3,4,78224.5180282668,78027.34427996507,77935.74125864716,78406.2930435807
2026-04-23 09:00:24.199,77897.87177343022,18,3,4,78031.99538001728,78224.5180282668,78027.34427996507,78357.18396749758
2026-04-23 10:00:53.511,77638.50183036197,18,3,4,77897.87177343022,78031.99538001728,78224.5180282668,77985.92377137982
2026-04-23 11:00:13.367,77421.70696946804,18,3,4,77638.50183036197,77897.87177343022,78031.99538001728,77745.85432228484
2026-04-23 12:01:00.400,77720.82903527566,18,3,4,77421.70696946804,77638.50183036197,77897.87177343022,77935.74125864716
2026-04-23 13:00:00.958,77689.20240973093,18,3,4,77720.82903527566,77421.70696946804,77638.50183036197,78027.34427996507
2026-04-23 14:00:03.966,77534.60343866517,18,3,4,77689.20240973093,77720.82903527566,77421.70696946804,78224.5180282668
2026-04-23 15:01:01.571,78194.45325685579,18,3,4,77534.60343866517,77689.20240973093,77720.82903527566,78031.99538001728
2026-04-23 16:00:35.533,78400.43360010415,19,3,4,78194.45325685579,77534.60343866517,77689.20240973093,77897.87177343022
2026-04-23 17:01:12.798,78107.69300312691,19,3,4,78400.43360010415,78194.45325685579,77534.60343866517,77638.50183036197
2026-04-23 18:00:35.961,77774.75239415659,19,3,4,78107.69300312691,78400.43360010415,78194.45325685579,77421.70696946804
2026-04-23 19:00:41.386,77788.60996280434,19,3,4,77774.75239415659,78107.69300312691,78400.43360010415,77720.82903527566
2026-04-23 20:01:11.601,77758.18784079723,19,3,4,77788.60996280434,77774.75239415659,78107.69300312691,77689.20240973093
2026-04-23 21:01:11.533,77892.40295122238,19,3,4,77758.18784079723,77788.60996280434,77774.75239415659,77534.60343866517
2026-04-23 22:00:52.886,77960.96780301731,19,3,4,77892.40295122238,77758.18784079723,77788.60996280434,78194.45325685579
